targeted_productivity,smv,wip,over_time,no_of_workers,month,actual_productivity,Department
0.7,15.26,1337,6120,34,1,0.70043672,IT
0.75,20.4,1118,10320,58,1,0.750031447,Finace
0.8,11.61,1120,5670,31.5,1,0.800246753,IT
0.8,11.61,816,2820,57,2,0.800516667,IT
0.8,2.9,,960,8,3,0.758229167,IT
0.7,29.12,1248,6840,57,2,0.700135088,Sales
0.8,4.6,,10500,25,3,0.936355556,Finace
0.8,3.94,,2160,18,2,0.966759259,Finace
0.8,3.94,,1200,10,2,0.912766667,Finace
0.8,25.9,1039,6780,56.5,1,0.850345133,Sales
0.8,4.6,,10080,24,3,0.86037037,Finace
0.7,21.82,1653,6240,52,2,0.700058333,IT
0.7,11.41,1054,3420,56,2,0.700614035,IT
0.8,4.08,,1080,9,2,0.906666667,IT
0.8,4.6,,1920,8,3,0.786631944,Finace
0.8,4.08,,1080,9,2,0.778222222,IT
0.65,20.1,1417,6480,54,1,0.650148148,IT
0.5,26.66,1448,6840,57,2,0.550349708,Finace
0.7,45.67,884,6960,58,1,0.603432184,Finace
0.07,24.26,1608,6960,58,2,0.522844828,Finace
0.8,5.13,,2160,9,2,0.609583333,IT
0.7,20.1,1192,6120,54,2,0.700508929,IT
0.8,3.94,,1200,10,1,0.971866667,IT
0.5,4.15,,960,8,1,0.803541667,Finace
0.8,25.9,1218,10170,56.5,1,0.850136766,Sales
0.65,23.41,1262,4560,38,3,0.650962281,Finace
0.75,30.1,919,7140,59.5,2,0.598627451,Finace
0.7,26.82,1028,6960,58,3,0.799975862,Finace
0.8,11.61,893,4710,31.5,1,0.800346445,IT
0.5,14.89,917,9900,55,1,0.500025069,IT
0.6,2.9,,2880,12,2,0.805555556,IT
0.75,4.6,,3360,8,2,0.376597222,Sales
0.75,2.9,,1800,15,2,0.726933333,Finace
0.35,30.1,842,6960,58,2,0.350301724,Finace
0.75,22.52,825,10080,56,1,0.900556277,Finace
0.75,3.94,,1200,10,1,0.788,Finace
0.7,5.13,,1200,10,2,0.91375,Finace
0.75,18.79,1193,6240,52,3,0.750395513,HR
0.8,28.08,759,6900,57.5,1,0.800076522,Finace
0.75,2.9,,960,8,3,0.447083333,HR
0.65,30.1,326,5820,58.5,2,0.650834808,Finace
0.7,29.12,1340,6960,58,1,0.750593103,HR
0.8,11.41,668,3660,30.5,1,0.707045902,Finace
0.75,3.94,,1200,10,1,0.77815,Finace
0.6,3.94,,6000,10,1,0.957638889,Finace
0.7,2.9,,3360,8,2,0.410833333,IT
0.75,19.87,733,6000,55,1,0.753097531,Finace
0.8,22.52,1452,6960,58,2,0.949981609,Finace
0.8,30.1,15,1200,59,2,0.598792339,Finace
0.7,10.05,1042,6120,53,2,0.700278846,IT
0.75,3.94,,1800,10,1,0.910378788,Finace
0.8,30.1,864,480,58,2,0.800980392,Finace
0.8,4.6,,3600,15,3,0.590740741,Sales
0.8,3.94,,960,8,2,0.927541667,IT
0.8,2.9,,1440,8,1,0.681060606,Sales
0.8,15.26,1083,720,34,2,0.800612676,IT
0.65,4.15,,2160,12,1,0.838383838,IT
0.8,15.26,986,4080,34,3,0.850520588,IT
0.6,30.48,1017,6840,57,3,0.630402924,Finace
0.8,4.6,,3780,9,2,0.590617284,IT
0.7,30.1,419,7080,59,2,0.637711864,Finace
0.75,3.94,,2280,19,2,0.504596491,Finace
0.8,3.94,,960,8,2,0.549791667,HR
0.7,19.68,1410,5760,48,2,0.249416667,IT
0.35,30.1,770,6960,58,2,0.350301724,Finace
0.8,25.9,1158,10170,56.5,1,0.850136766,Sales
0.6,30.33,868,6840,57,2,0.328131579,Finace
0.8,22.52,1388,6720,56,2,0.9008,IT
0.75,3.94,,1800,10,1,0.937242424,IT
0.75,2.9,,1080,9,3,0.929074074,HR
0.8,11.61,1216,4950,31.5,1,0.80003139,IT
0.65,29.4,962,4560,57,2,0.251399254,Sales
0.65,18.79,881,3960,33,2,0.651007071,Finace
0.8,26.16,1156,10620,59,1,0.850502311,HR
0.8,26.16,1095,10620,59,1,0.900215716,HR
0.8,30.1,679,7140,59.5,2,0.722568627,Finace
0.65,26.66,832,6780,57,3,0.750254867,Finace
0.75,4.15,,2160,12,1,0.712626263,Finace
0.75,18.79,1055,3960,33,2,0.75065101,Finace
0.75,18.79,935,6240,52,3,0.750395513,HR
0.8,2.9,,1440,8,1,0.639867424,Sales
0.8,19.87,1043,6420,55,1,0.690182815,Finace
0.75,2.9,,960,8,1,0.676666667,Sales
0.75,19.87,734,6600,55,1,0.75024303,Finace
0.75,28.08,1066,10530,58.5,1,0.8,IT
0.7,4.6,,960,8,3,0.592083333,Finace
0.8,22.52,1016,10170,56.5,1,0.850312684,Finace
0.5,2.9,,960,8,3,0.7975,Finace
0.7,18.79,1603,6120,51,2,0.638614379,HR
0.65,23.54,830,6600,55,1,0.48792,Finace
0.75,3.94,,1200,10,1,0.9456,Finace
0.75,2.9,,3360,8,2,0.271875,Finace
0.75,18.79,708,4080,34,2,0.612517157,Finace
0.8,2.9,,4800,8,1,0.626822917,Finace
0.7,2.9,,3360,8,3,0.664583333,IT
0.8,4.6,,1080,9,2,0.902962963,Finace
0.75,22.52,1495,10350,57.5,1,0.800513307,Finace
0.8,25.9,1126,10170,56.5,1,0.850136766,Finace
0.8,11.61,539,6975,31,1,0.879714482,Finace
0.6,12.52,831,9540,53,1,0.600229846,IT
0.7,30.1,754,7020,58.5,2,0.700618234,Finace
0.75,4.6,,3360,8,3,0.773333333,Sales
0.8,22.52,1136,6960,58,1,1.000457471,Finace
0.7,30.1,562,840,59,2,0.700888203,Finace
0.6,30.1,415,6960,58,2,0.415172414,Finace
0.5,5.13,,960,8,2,0.2565,Finace
0.75,3.94,,960,8,3,0.890604167,Finace
0.8,2.9,,0,8,3,0.960625,IT
0.8,11.61,760,4470,31.5,1,0.80007657,IT
0.8,4.15,,1980,7,1,0.934607438,IT
0.8,15.26,983,4080,34,3,0.800401961,IT
0.75,30.1,444,0,59,2,0.611140537,Finace
0.8,11.61,954,0,58,2,0.800779018,IT
0.65,4.15,,960,8,2,0.561979167,Sales
0.6,15.26,1492,6960,34,1,0.600436426,IT
0.8,11.41,843,5670,31.5,1,0.800181818,Finace
0.8,26.16,844,7080,59,1,0.800318644,IT
0.75,29.4,1283,6960,58,2,0.750206897,Finace
0.7,4.08,,1620,9,1,0.618181818,IT
0.7,28.08,872,6900,57.5,1,0.721126957,HR
0.8,22.52,968,6840,57,2,1.000230409,Finace
0.7,3.94,,960,8,3,0.664875,Finace
0.8,5.13,,1200,10,2,0.9918,IT
0.7,15.26,1296,6120,34,1,0.70043672,IT
0.8,28.08,749,10350,57.5,1,0.800594466,Finace
0.75,29.4,551,6840,57,3,0.750473684,Sales
0.8,30.1,511,0,59,2,0.800980392,Finace
0.8,3.94,,2400,20,2,1.001416667,Finace
0.8,28.08,782,6660,55.5,1,0.800237838,Finace
0.7,2.9,,3360,8,3,0.463194444,IT
0.8,4.15,,1440,8,1,0.668087121,IT
0.8,2.9,,1440,8,1,0.681060606,Sales
0.8,3.94,,4440,18,1,0.827186544,Finace
0.75,18.79,1020,5640,52,2,0.750371895,HR
0.8,11.61,1101,5310,31.5,1,0.800140969,IT
0.75,4.15,,1200,10,2,0.629416667,Finace
0.75,3.94,,1440,8,1,0.779791667,IT
0.75,2.9,,960,8,3,0.83375,HR
0.8,25.9,1211,10260,57,1,0.850252525,Sales
0.8,26.16,1189,10620,59,1,0.850502311,Finace
0.7,22.94,1682,10530,58.5,1,0.800909609,Finace
0.5,18.79,1688,5280,54,2,0.283054487,HR
0.7,22.52,1139,10260,57,1,0.750068049,Finace
0.75,29.12,1082,6840,57,1,0.850610526,HR
0.8,22.52,1327,0,57.5,2,1.000344928,Finace
0.5,30.1,839,6960,58,2,0.500801724,Finace
0.6,20.1,1601,4320,51,1,0.60059761,IT
0.8,26.16,1305,10620,59,1,0.850502311,HR
0.7,4.15,,1800,15,2,1.033155556,Finace
0.8,3.94,,5400,20,1,0.912766667,IT
0.35,22.4,581,7350,51.5,1,0.35063299,Finace
0.7,2.9,,960,8,2,0.410833333,HR
0.7,2.9,,960,8,3,0.39875,IT
0.6,4.15,,1440,8,1,0.852793561,Finace
0.7,4.6,,960,8,2,0.658541667,Sales
0.7,2.9,,3360,8,2,0.410833333,IT
0.7,3.94,,15000,25,1,0.649662222,Finace
0.8,22.52,1420,6840,57,2,1.000230409,Finace
0.7,28.08,1072,6900,57.5,1,0.699965217,HR
0.8,22.52,1287,6840,57,1,0.950185965,Finace
0.8,3.94,,960,8,1,0.792104167,Finace
0.7,18.79,913,4020,33.5,2,0.700184577,Finace
0.7,3.94,,12000,20,1,0.460578704,Finace
0.8,22.52,1108,6720,56,2,0.999995238,IT
0.65,3.94,,960,8,1,0.971866667,Sales
0.8,42.27,465,9900,55,1,0.705576584,Finace
0.65,3.94,,960,8,1,0.705916667,IT
0.7,2.9,,0,8,3,0.477291667,IT
0.8,22.52,1283,6720,56,2,0.900129762,Finace
0.7,22.94,1510,10620,57,1,0.800302791,Finace
0.75,29.12,1282,6960,58,2,0.750593103,HR
0.75,3.94,,1800,10,1,1.059621212,Finace
0.8,29.4,1169,6840,57,3,0.800333333,Finace
0.8,2.9,,1440,8,1,0.793844697,IT
0.6,2.9,,1200,10,2,0.715333333,IT
0.35,30.1,287,6060,55.5,2,0.350706422,Finace
0.6,2.9,,960,8,1,0.864583333,IT
0.7,2.9,,1800,15,2,0.726933333,HR
0.8,2.9,,1440,8,1,0.628882576,Sales
0.8,25.9,562,7470,56.5,1,0.800436542,Sales
0.8,28.08,1082,10530,58.5,1,0.8,IT
0.75,18.79,670,3960,33,2,0.75065101,Finace
0.8,22.52,1271,5400,57,2,0.800161172,Finace
0.8,4.6,,6300,15,2,0.921703704,Finace
0.7,26.82,1267,8160,58,3,0.850045,Finace
0.8,4.6,,2400,20,2,0.900833333,Finace
0.75,30.1,788,7380,59.5,2,0.750406233,Finace
0.8,22.52,1532,6900,57.5,2,0.900147246,Finace
0.8,3.94,,960,8,2,0.771583333,IT
0.7,26.66,1562,6960,58,3,0.800566092,Finace
0.7,24.26,154,6840,57,2,0.353259649,Sales
0.8,11.41,560,3420,58,3,0.800034503,IT
0.35,22.4,715,10170,56.5,1,0.35020649,IT
0.8,3.94,,1440,8,1,0.828295455,IT
0.75,26.82,1322,7080,59,3,0.750050847,Finace
0.8,3.94,,1440,8,1,0.974621212,IT
0.8,4.3,,1200,10,1,0.989,Finace
0.7,30.33,398,6960,58,2,0.66237931,Finace
0.8,22.52,1397,0,57,2,1.100483918,Finace
0.35,22.53,1450,2640,39,3,0.26369382,Finace
0.8,4.15,,960,8,1,0.956270833,HR
0.7,24.26,1639,6720,56,2,0.541517857,Finace
0.8,4.08,,1080,9,2,0.891555556,IT
0.8,22.52,10,6000,50,2,0.441392,IT
0.8,25.9,1012,10170,56.5,1,0.850136766,Finace
0.8,4.6,,7560,18,2,0.921604938,Finace
0.7,30.1,824,5160,60,2,0.700206125,Sales
0.7,4.15,,2700,9,1,0.470769231,IT
0.8,22.52,11,6840,57,2,0.536901754,Finace
0.8,3.94,,6600,20,1,0.861679012,Finace
0.65,3.9,,960,8,3,0.625625,Finace
0.7,4.15,,1800,15,2,0.796755556,Finace
0.8,15.26,1053,4080,34,2,0.800401961,IT
0.8,3.94,,1200,10,2,0.85695,IT
0.75,22.52,867,10260,57,1,0.900321106,Finace
0.6,30.1,486,6780,57,2,0.600224189,Finace
0.75,42.97,1282,10260,57,1,0.750041201,IT
0.8,3.94,,1800,10,1,0.82680303,HR
0.8,30.1,323,4080,59,2,0.800808642,Finace
0.75,11.61,635,3360,57,2,0.750503571,IT
0.8,25.9,1083,10170,56.5,1,0.800128721,Sales
0.8,4.6,,1080,9,3,0.868888889,IT
0.8,3.94,,1440,8,1,0.891723485,Finace
0.8,30.1,276,600,59.5,2,0.799982853,Finace
0.75,18.79,841,6240,52,2,0.750395513,HR
0.75,18.79,1206,6240,52,3,0.750395513,HR
0.65,30.33,841,6840,57,2,0.585315789,Finace
0.7,27.48,573,6840,57,3,0.700659649,Finace
0.6,23.41,1266,2520,38,3,0.601037091,Finace
0.7,3.9,,960,8,3,0.625625,Sales
0.7,23.41,1180,4560,38,3,0.700246491,Finace
0.7,20.4,1352,10260,57,1,0.700063796,Finace
0.7,26.66,950,6960,58,3,0.750770115,Finace
0.8,2.9,,1440,8,1,0.648106061,Finace
0.75,3.94,,3420,19,1,0.955151515,IT
0.8,25.9,1026,10170,56.5,1,0.850136766,Sales
0.8,15.26,1069,4080,34,3,0.800401961,IT
0.7,18.79,2984,3960,33,2,0.700354545,Finace
0.8,3.94,,960,8,1,0.902916667,Finace
0.7,30.33,512,4560,58,2,0.700211111,Finace
0.8,4.15,,1440,8,1,0.817424242,IT
0.5,15.28,261,5520,46,3,0.404144928,Finace
0.6,30.1,1069,4560,58,2,0.714410494,Sales
0.7,4.15,,240,2,2,0.87,Finace
0.75,26.82,1254,6960,58,3,0.85007069,Finace
0.7,21.82,1390,6000,50,3,0.700422,IT
0.8,28.08,990,10350,57.5,1,0.800594466,Finace
0.8,2.9,,1440,8,1,0.689299242,Finace
0.75,15.26,1276,1440,35,2,0.750450658,IT
0.75,3.94,,1440,8,1,0.970075758,Finace
0.8,26.16,1324,10620,59,1,0.850502311,HR
0.5,3.9,,960,8,3,0.560625,Finace
0.8,25.9,1152,6720,56,1,0.800125,Finace
0.8,22.52,598,0,56,2,0.850364583,IT
0.7,26.82,992,6960,58,3,0.700556897,Finace
0.8,2.9,,1440,8,1,0.837594697,Finace
0.8,3.94,,960,8,2,0.6895,HR
0.8,3.94,,1440,2,1,0.951420455,Finace
0.7,28.08,1202,6900,57.5,1,0.699965217,IT
0.7,2.9,,960,8,2,0.5046875,IT
0.75,20.2,402,3120,33,3,0.750212553,Finace
0.8,3.94,,1440,12,1,0.979527778,IT
0.35,4.3,,3600,20,1,0.988636364,Finace
0.65,20.79,1015,7080,59,1,0.800473729,Finace
0.5,4.15,,1440,8,1,0.337973485,Finace
0.8,15.26,1060,4080,34,2,0.800401961,IT
0.8,5.13,,3600,15,2,0.710125,Finace
0.7,22.94,1422,10500,57,1,0.800415742,Finace
0.8,3.94,,960,8,1,0.6253125,Finace
0.8,3.94,,2160,18,2,0.966759259,Finace
0.7,16.1,817,5520,45,3,0.700516224,Finace
0.8,2.9,,720,4,1,0.329545455,Sales
0.8,11.41,1047,5580,31,1,0.800261486,Finace
0.35,4.15,,1440,12,2,0.755486111,Sales
0.8,28.08,925,10350,57.5,1,0.800594466,Finace
0.7,5.13,,960,8,2,0.283958333,Finace
0.8,3.94,,1200,10,1,0.971866667,Finace
0.8,19.31,678,4800,55,1,0.800250962,IT
0.8,3.94,,1800,10,1,0.980909091,Finace
0.7,14.89,1863,10260,57,1,0.700170388,IT
0.8,4.08,,1080,9,2,0.800888889,IT
0.8,22.52,1342,6780,56.5,1,0.800489676,Finace
0.7,14.89,1501,10260,57,1,0.700170388,IT
0.6,3.94,,960,8,3,0.673083333,Finace
0.8,3.94,,1440,12,2,0.845458333,Finace
0.8,2.9,,960,8,1,0.6225,Finace
0.65,22.52,1138,10170,56.5,1,0.650416734,Finace
0.35,4.15,,1800,15,2,0.707111111,Sales
0.8,4.6,,960,8,3,0.930416667,Sales
0.8,25.9,1380,3630,56.5,1,0.800162602,Sales
0.75,21.82,1674,6000,50,3,0.750608,IT
0.7,22.52,1244,10260,57,1,0.750068049,Finace
0.7,22.52,1108,10080,56,1,0.750057359,IT
0.35,15.09,1448,9360,52,1,0.34998951,Sales
0.75,29.4,792,4560,58,2,0.750425926,Sales
0.8,3.94,,1260,8,1,0.332359307,IT
0.8,25.9,1170,1920,56,1,0.800381944,Finace
0.6,24.26,1196,6600,55,2,0.466821212,Sales
0.7,29.4,1228,6960,58,2,0.700362069,Finace
0.8,4.6,,2640,22,3,0.980984848,Sales
0.8,28.08,783,10050,58.5,1,0.800497246,Finace
0.8,25.9,1209,10170,56.5,1,0.850136766,Sales
0.8,15.26,894,4080,34,2,0.800401961,IT
0.8,11.41,411,14640,30.5,1,0.800024932,Finace
0.7,23.69,544,13800,60,1,0.700134038,Finace
0.8,22.52,1233,6900,57.5,2,1.000018551,Finace
0.8,3.94,,1440,8,1,0.805909091,Finace
0.8,22.94,16882,7020,58.5,2,1.000602279,Finace
0.6,3.94,,1200,10,1,0.971866667,Finace
0.75,22.52,1299,6840,57,1,1.000230409,Finace
0.8,3.94,,1440,8,1,0.936496212,Finace
0.8,29.4,797,1800,57,3,0.800534979,Finace
0.7,30.1,247,6960,58,2,0.700603448,Finace
0.6,30.1,1361,6960,58,2,0.475718391,Finace
0.6,3.94,,0,12,3,0.864342593,Finace
0.75,18.79,912,3960,33,2,0.75065101,Finace
0.8,22.52,674,3660,57,2,0.80037492,Finace
0.65,30.1,1263,600,58,2,0.802243319,Finace
0.75,4.3,,6000,20,1,0.978525641,Finace
0.75,4.15,,2400,20,2,0.902916667,Finace
0.75,10.05,677,3240,27,2,0.750027778,IT
0.7,14.89,1484,10260,57,1,0.700170388,IT
0.8,29.12,609,3240,58,2,0.800144144,HR
0.75,29.4,622,6240,57,3,0.75075,Sales
0.5,22.94,1492,10170,56.5,1,0.549969429,Finace
0.8,11.61,896,5670,31.5,1,0.800246753,IT
0.7,22.52,930,10260,57,1,0.750068049,Finace
0.8,2.9,,1440,8,1,0.670075758,Finace
0.8,48.84,624,10170,56.5,1,0.800128721,Finace
0.8,3.94,,2400,8,1,0.827147436,HR
0.8,4.3,,1440,12,1,0.940625,Finace
0.8,2.9,,1440,12,2,0.936861111,Finace
0.8,22.52,1112,6840,57,2,0.950185965,Finace
0.7,26.82,1772,6960,58,3,0.750651724,Finace
0.65,20.79,1141,8460,59,1,0.650040783,Finace
0.8,22.52,1485,6900,57.5,2,1.000018551,Finace
0.8,26.16,1383,10620,59,1,0.850502311,Finace
0.8,3.94,,960,8,2,0.697708333,HR
0.75,29.12,8992,6960,58,2,0.799963218,HR
0.8,28.08,660,10440,58,1,0.801028213,Finace
0.8,4.3,,1440,12,2,0.809236111,Finace
0.8,30.1,680,7140,59,2,0.653431373,Finace
0.7,3.9,,1200,10,3,0.92885,Finace
0.8,22.52,1397,6840,57,1,1.000230409,Finace
0.75,18.79,52,3960,33,3,0.332146465,Finace
0.75,22.94,1636,10530,58.5,1,0.850223776,Finace
0.8,25.9,970,10170,56.5,1,0.850136766,Finace
0.75,3.94,,1620,9,1,0.961784512,Finace
0.65,26.82,1001,7080,59,3,0.650044068,Finace
0.5,3.94,,3360,8,2,0.768847222,Finace
0.6,29.12,925,6660,58,1,0.600125217,HR
0.75,22.94,1764,10260,57,1,0.800034024,Finace
0.8,3.94,,1200,10,1,0.840533333,IT
0.75,2.9,,960,8,2,0.845833333,Finace
0.8,2.9,,1440,8,1,0.661837121,Finace
0.75,4.15,,1800,10,1,0.896022727,IT
0.8,22.52,21540,6720,56,2,0.900129762,IT
0.7,4.15,,240,2,2,0.58,Finace
0.8,11.41,1028,4380,31,1,0.800358775,Finace
0.8,28.08,762,10530,58.5,1,0.8,IT
0.6,3.94,,3360,8,3,0.448722222,Finace
0.8,22.52,1416,6840,57,2,1.000230409,Finace
0.8,3.94,,1440,8,1,0.805909091,Finace
0.7,26.82,1117,7080,59,3,0.750050847,Finace
0.6,22.52,1859,10260,57,1,0.60041361,Finace
0.8,4.6,,3780,9,3,0.636049383,IT
0.8,25.9,1255,6780,56.5,1,0.800684366,Finace
0.7,19.68,1119,5640,47,2,0.303574468,IT
0.8,2.9,,1440,8,1,0.692045455,Finace
0.35,14.61,838,7200,55,1,0.35003125,IT
0.7,4.15,,3000,25,2,0.915766667,Sales
0.75,28.08,1144,10530,58.5,1,0.8,IT
0.8,3.94,,2160,18,2,0.912037037,Finace
0.8,3.94,,2160,8,1,0.985,Finace
0.75,30.1,912,7020,58,2,0.750356125,Finace
0.5,29.12,970,10440,58,1,0.500547544,HR
0.7,3.9,,960,8,2,0.325,Finace
0.8,26.16,1092,10620,59,1,0.800117103,Finace
0.75,3.94,,960,8,3,0.890604167,Finace
0.7,30.33,254,1800,58,3,0.683550607,Finace
0.75,15.26,1209,4200,35,1,0.750646667,IT
0.8,30.4,338,3840,32,1,0.622828125,Finace
0.7,20.79,391,10440,58,1,0.700060345,Finace
0.75,18.79,640,2400,34,2,0.750797009,Finace
0.65,22.94,1595,10260,57,1,0.700029771,Finace
0.75,3.94,,2280,19,2,0.950438596,Finace
0.75,22.94,1579,6960,58,1,0.850362069,Finace
0.8,22.52,23122,5940,56.5,2,0.800393224,Finace
0.8,49.1,1381,10350,57.5,1,0.403242161,Finace
0.7,41.19,1052,10440,58,1,0.452012539,Finace
0.8,18.79,656,3480,34,2,0.800947475,Finace
0.7,30.1,507,5880,59,2,0.700573099,Sales
0.75,18.79,899,3960,33,2,0.75065101,Finace
0.8,18.79,779,3960,33,2,0.688017677,Finace
0.65,3.94,,2160,12,1,0.870580808,Finace
0.8,30.1,756,6960,58,3,0.800071839,Finace
0.7,20.79,965,7320,58,1,0.700095563,Finace
0.6,30.48,869,6720,56,3,0.600528571,Sales
0.8,22.52,1127,120,56,2,0.9008,IT
0.75,2.9,,3360,8,2,0.271875,Finace
0.8,22.52,1534,6780,57,2,0.900135693,Finace
0.8,2.9,,960,8,2,0.604166667,Finace
0.75,4.6,,960,8,2,0.676666667,Finace
0.35,4.3,,2160,12,1,0.952020202,Finace
0.75,11.41,826,2820,58,2,0.750293939,IT
0.75,15.26,1436,4200,35,1,0.750646667,IT
0.7,22.94,1745,10440,58,1,0.800023511,Finace
0.8,5.13,,4800,20,2,0.8300625,Finace
0.8,3.94,,1800,10,1,0.72830303,HR
0.75,16.1,971,5400,45,3,0.750140741,Finace
0.75,3.94,,1800,15,1,0.971866667,Finace
0.75,19.87,1075,7080,56,1,0.750098351,Finace
0.65,23.69,861,7200,60,1,0.52118,Finace
0.65,3.9,,0,8,3,0.2640625,Sales
